name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2006 AIRO SF1200D	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10267860&LP=MAT	SF0606273	824	4.000	26-9-2014 9:00:00	Netherlands
1972 ALLIS-CHALMERS M65	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9304151&LP=MAT	91U00297	1.275	7.000	13-6-2013 5:23:00	Netherlands
ALLIS-CHALMERS M65	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9966981&LP=MAT	91U00452	7.492	5.750	8-5-2014 5:21:00	Netherlands
2001 ALVIS STALWART FV432	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9824443&LP=MAT			5.000	4-3-2014 2:22:00	Netherlands
2000 AMMANN AV12	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9305057&LP=MAT	TFAAV12EYX0001298		3.500	13-6-2013 6:22:00	Netherlands
2003 AMMANN AV12E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9305115&LP=MAT	TFAAV12EY30005956	2.286	3.500	13-6-2013 6:22:00	Netherlands
2005 AMMANN AV16	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9119885&LP=MAT	TFAAV16EY50006520	1.017	4.500	21-3-2013 9:31:00	Netherlands
2005 AMMANN AV20E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098995&LP=MAT	TFAAV20EY50006283		3.500	3-7-2014 9:51:00	Netherlands
2001 AMMANN AV23	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9819443&LP=MAT		1.014	5.000	28-2-2014 4:02:00	Netherlands
2007 AMMANN AV23-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266606&LP=MAT	TFAAV23E70021386		6.250	26-9-2014 2:08:00	Netherlands
2006 AMMANN AV23-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266608&LP=MAT	TFAAV23EY60020203	1.042	5.500	26-9-2014 2:08:00	Netherlands
